NUM_SERVERS;NUM_CLIENTS;NUM_CANDS;THRESHOLD;BIT_LENGTH;Use_Elliptic_Curve;t_setup;t_gen_ballots;t_make_clients;t_encrypt_ballots;t_send_ballots;time_mixing;time_verifying_proofs;t_pool_shares;t_decrypt;t_tally;time_total
15;20;3;8;3072;False;0.019263267517089844;0.0003407001495361328;1.2874603271484375e-05;1.1011717319488525;1.33514404296875e-05;9.5367431640625e-07;1.6689300537109375e-06;4.76837158203125e-06;7.850119352340698;2.0503997802734375e-05;8.970970869064331
16;20;3;9;3072;False;0.01983189582824707;0.0003883838653564453;1.5020370483398438e-05;1.0970022678375244;1.1444091796875e-05;1.6689300537109375e-06;2.86102294921875e-06;5.0067901611328125e-06;8.272533893585205;3.719329833984375e-05;9.389851808547974
17;20;3;9;3072;False;0.020798444747924805;0.0004048347473144531;1.430511474609375e-05;1.1380467414855957;1.0967254638671875e-05;9.5367431640625e-07;2.384185791015625e-06;5.0067901611328125e-06;8.766402006149292;5.316734313964844e-05;9.925761461257935
18;20;3;10;3072;False;0.0205233097076416;0.0003464221954345703;1.5735626220703125e-05;1.1039183139801025;1.1682510375976562e-05;1.6689300537109375e-06;2.6226043701171875e-06;4.0531158447265625e-06;9.5721914768219;4.267692565917969e-05;10.697080373764038
19;20;3;10;3072;False;0.020940303802490234;0.0003864765167236328;1.5974044799804688e-05;1.1053824424743652;1.52587890625e-05;1.430511474609375e-06;3.0994415283203125e-06;4.76837158203125e-06;9.937991619110107;5.793571472167969e-05;11.064823150634766
20;20;3;11;3072;False;0.022234201431274414;0.0003795623779296875;1.430511474609375e-05;1.1059119701385498;1.33514404296875e-05;1.9073486328125e-06;3.814697265625e-06;7.62939453125e-06;10.310779333114624;2.8371810913085938e-05;11.439404010772705
21;20;3;11;3072;False;0.022121191024780273;0.000400543212890625;1.52587890625e-05;1.101027250289917;1.2636184692382812e-05;1.430511474609375e-06;2.86102294921875e-06;5.245208740234375e-06;10.81753134727478;3.8623809814453125e-05;11.941179990768433
22;20;3;12;3072;False;0.02297353744506836;0.00041675567626953125;1.6450881958007812e-05;1.0964279174804688;1.1444091796875e-05;1.6689300537109375e-06;2.86102294921875e-06;4.5299530029296875e-06;11.584609985351562;6.127357482910156e-05;12.704548835754395
23;20;3;12;3072;False;0.02322864532470703;0.0003762245178222656;1.2874603271484375e-05;1.0908799171447754;1.1920928955078125e-05;7.152557373046875e-07;1.9073486328125e-06;5.245208740234375e-06;11.900750398635864;4.696846008300781e-05;13.015337228775024
24;20;3;13;3072;False;0.024678707122802734;0.00041961669921875;1.6927719116210938e-05;1.091113805770874;1.1682510375976562e-05;1.1920928955078125e-06;2.1457672119140625e-06;5.245208740234375e-06;12.331744194030762;5.3882598876953125e-05;13.448070287704468
