NUM_SERVERS;NUM_VOTERS;NUM_CANDS;RUN_LEAK_VERSION;total_time_s;data_sent_mb;data_sent_rounds;global_data_sent_mb;send_and_receive_ballots_time_s;send_and_receive_ballots_data_mb;send_and_receive_ballots_rounds;clean_ballots_time_s;clean_ballots_data_mb;clean_ballots_rounds;convert_ballots_time_s;convert_ballots_data_mb;convert_ballots_rounds;tally_time_s;tally_data_mb;tally_rounds
5;32;10;1;8.41397;2.80533;102813;11.1593;5.90349;0.0;0;2.30645;2.58048;76800;0.0126115;0.205008;12;0.190071;0.019536;25996
5;20;5;0;5.11741;0.627168;42927;2.51525;4.40585;0.0;0;0.431453;0.4704;14000;0.0035747;0.032208;12;0.274902;0.123712;28900
5;20;5;1;4.86687;0.509424;18265;2.04072;4.39728;0.0;0;0.435224;0.4704;14000;0.00249854;0.032208;12;0.0310472;0.006384;4250
5;40;5;0;8.12479;1.16037;78927;4.64245;6.80927;0.0;0;0.836583;0.9408;28000;0.00773925;0.064208;12;0.469747;0.154512;50900
5;40;5;1;7.78962;1.01742;36505;4.07528;6.8328;0.0;0;0.879205;0.9408;28000;0.00738483;0.064208;12;0.069319;0.011984;8490
5;60;5;0;11.3245;1.69357;114927;6.76965;9.38819;0.0;0;1.26087;1.4112;42000;0.00642377;0.096208;12;0.667633;0.185312;72900
5;60;5;1;10.862;1.52542;54745;6.10984;9.47061;0.0;0;1.26787;1.4112;42000;0.00645779;0.096208;12;0.116205;0.017584;12730
5;80;5;0;14.2416;2.22677;150927;8.89685;11.7561;0.0;0;1.66889;1.8816;56000;0.0114688;0.128208;12;0.803721;0.216112;94900
5;80;5;1;13.6494;2.03342;72985;8.1444;11.8247;0.0;0;1.67979;1.8816;56000;0.0120866;0.128208;12;0.131853;0.023184;16970
5;100;5;0;17.3933;2.75997;186927;11.024;14.2469;0.0;0;2.10605;2.352;70000;0.0102723;0.160208;12;1.02851;0.246912;116900
5;100;5;1;16.5738;2.54142;91225;10.179;14.2938;0.0;0;2.09822;2.352;70000;0.0114062;0.160208;12;0.169497;0.028784;21210
5;120;5;0;20.5178;3.29317;222927;13.1512;16.7285;0.0;0;2.58884;2.8224;84000;0.0175387;0.192208;12;1.18158;0.277712;138900
5;120;5;1;19.565;3.04942;109465;12.2135;16.7812;0.0;0;2.57498;2.8224;84000;0.0123337;0.192208;12;0.195421;0.034384;25450
5;140;5;0;23.4033;3.82637;258927;15.2784;19.0636;0.0;0;2.95226;3.2928;98000;0.016787;0.224208;12;1.3687;0.308512;160900
5;140;5;1;22.5677;3.55742;127705;14.2481;19.3379;0.0;0;2.96904;3.2928;98000;0.0236579;0.224208;12;0.235867;0.039984;29690
5;160;5;0;26.7805;4.35957;294927;17.4056;21.8447;0.0;0;3.40588;3.7632;112000;0.0165414;0.256208;12;1.51169;0.339312;182900
5;160;5;1;25.5615;4.06542;145945;16.2826;21.864;0.0;0;3.40065;3.7632;112000;0.0247762;0.256208;12;0.270962;0.045584;33930
5;180;5;0;29.6833;4.89277;330927;19.5328;24.1533;0.0;0;3.79538;4.2336;126000;0.0210257;0.288208;12;1.71168;0.370112;204900
5;180;5;1;28.2734;4.57342;164185;18.3172;24.0898;0.0;0;3.84079;4.2336;126000;0.0202042;0.288208;12;0.321455;0.051184;38170
5;200;5;0;32.7886;5.42597;366927;21.66;26.5781;0.0;0;4.30126;4.704;140000;0.0224931;0.320208;12;1.88493;0.400912;226900
5;200;5;1;31.4349;5.08142;182425;20.3518;26.861;0.0;0;4.19777;4.704;140000;0.0207364;0.320208;12;0.354027;0.056784;42410
5;220;5;0;36.1805;5.95917;402927;23.7872;29.5316;0.0;0;4.57675;5.1744;154000;0.0255629;0.352208;12;2.04456;0.431712;248900
5;220;5;1;34.4173;5.58942;200665;22.3863;29.3545;0.0;0;4.65643;5.1744;154000;0.0260819;0.352208;12;0.378935;0.062384;46650
5;240;5;0;39.0531;6.49237;438927;25.9144;31.8334;0.0;0;4.97868;5.6448;168000;0.0259542;0.384208;12;2.21299;0.462512;270900
5;240;5;1;37.5489;6.09742;218905;24.4209;31.9915;0.0;0;5.08639;5.6448;168000;0.0250222;0.384208;12;0.444469;0.067984;50890
5;260;5;0;42.282;7.02557;474927;28.0416;34.3472;0.0;0;5.52166;6.1152;182000;0.029822;0.416208;12;2.38044;0.493312;292900
5;260;5;1;40.3678;6.60542;237145;26.4554;34.5063;0.0;0;5.39803;6.1152;182000;0.0268993;0.416208;12;0.434764;0.073584;55130
5;280;5;0;45.2821;7.55877;510927;30.1688;36.7722;0.0;0;5.94722;6.5856;196000;0.0361352;0.448208;12;2.5243;0.524112;314900
5;280;5;1;43.4709;7.11342;255385;28.49;36.9812;0.0;0;5.96513;6.5856;196000;0.0294569;0.448208;12;0.493574;0.079184;59370
5;300;5;0;48.2084;8.09197;546927;32.296;39.1039;0.0;0;6.33081;7.056;210000;0.0315792;0.480208;12;2.73932;0.554912;336900
5;300;5;1;46.1443;7.62142;273625;30.5246;39.2673;0.0;0;6.32646;7.056;210000;0.0423514;0.480208;12;0.506401;0.084784;63610
5;320;5;0;51.4602;8.62517;582927;34.4232;41.7042;0.0;0;6.74596;7.5264;224000;0.0384083;0.512208;12;2.96854;0.585712;358900
5;320;5;1;48.9965;8.12942;291865;32.5591;41.6781;0.0;0;6.72438;7.5264;224000;0.0339448;0.512208;12;0.558437;0.090384;67850
5;340;5;0;53.5704;9.15837;618927;36.5504;43.372;0.0;0;7.08098;7.9968;238000;0.0367188;0.544208;12;3.07752;0.616512;380900
5;340;5;1;51.9284;8.63742;310105;34.5937;44.1799;0.0;0;7.11296;7.9968;238000;0.0427784;0.544208;12;0.590416;0.095984;72090
5;360;5;0;57.5125;9.69157;654927;38.6776;46.5989;0.0;0;7.59244;8.4672;252000;0.0448386;0.576208;12;3.27395;0.647312;402900
5;360;5;1;54.9818;9.14542;328345;36.6282;46.7841;0.0;0;7.57135;8.4672;252000;0.0384846;0.576208;12;0.586079;0.101584;76330
5;380;5;0;60.4777;10.2248;690927;40.8048;49.0757;0.0;0;7.93785;8.9376;266000;0.0409865;0.608208;12;3.42058;0.678112;424900
5;380;5;1;56.9076;9.65342;346585;38.6628;48.2652;0.0;0;7.998;8.9376;266000;0.0406471;0.608208;12;0.602092;0.107184;80570
5;400;5;0;63.6556;10.758;726927;42.932;51.6432;0.0;0;8.41405;9.408;280000;0.0465268;0.640208;12;3.5489;0.708912;446900
5;400;5;1;61.2584;10.1614;364825;40.6974;52.0566;0.0;0;8.4488;9.408;280000;0.0426847;0.640208;12;0.708406;0.112784;84810
5;420;5;0;66.4012;11.2912;762927;45.0592;53.7416;0.0;0;8.79556;9.8784;294000;0.0511719;0.672208;12;3.81008;0.739712;468900
5;420;5;1;64.0219;10.6694;383065;42.7319;54.5046;0.0;0;8.76317;9.8784;294000;0.0456277;0.672208;12;0.705742;0.118384;89050
5;440;5;0;69.9531;11.8244;798927;47.1864;56.6556;0.0;0;9.29848;10.3488;308000;0.0481101;0.704208;12;3.9481;0.770512;490900
5;440;5;1;66.6513;11.1774;401305;44.7665;56.5493;0.0;0;9.27261;10.3488;308000;0.0480896;0.704208;12;0.779167;0.123984;93290
