NUM_SERVERS,NUM_CLIENTS,NUM_CANDS,THRESHOLD,BIT_LENGTH,time_mixing,time_verifying_proofs,t_decrypt,t_tally,total_time
5,20,5,3,3072,43.69555366552124,27.55020854958423,18.121629453731078,0.0804678683485107,89.44785953718505
5,40,5,3,3072,86.62591181827088,55.30811867029651,36.14279305663208,0.0808540568916015,178.15767760209107
5,60,5,3,3072,129.5163722907379,83.08873172336658,54.041568773485714,0.0812130657166748,266.7278858533069
5,80,5,3,3072,172.57066256667176,111.00319296674427,72.17560116224487,0.081712979921997,355.8311696755829
5,100,5,3,3072,215.53322582424926,138.85754316428455,90.31665879285583,0.08199235694165029,444.7894201383313
5,120,5,3,3072,258.5190656492859,166.8224130094231,108.373010832265,0.08245340891857911,533.7969428998925
5,140,5,3,3072,301.53781176819155,194.8681627812432,126.55363807919373,0.08279596686169428,623.0424085954902
5,160,5,3,3072,344.46032642652585,222.84566738056265,144.48183822498717,0.0832455747468261,711.8710776068225
5,180,5,3,3072,387.55694482173766,251.08013737867054,162.34598960369078,0.0835881326899414,801.0666599367889
5,200,5,3,3072,430.7181744134674,279.2257065722588,180.4605408103516,0.0839428499805908,890.4883646460585
5,220,5,3,3072,473.60758441367494,307.44943032975084,198.29842919047425,0.0843502577772216,979.4397941916773
5,240,5,3,3072,516.7613152642548,335.6362671567772,216.4749329880774,0.08479271310498039,1068.9573081222143
5,260,5,3,3072,559.816895146283,363.8642586068352,234.4452421464746,0.0850840110535888,1158.2114799106464
5,280,5,3,3072,602.9087620976318,392.35073036733326,252.4148138762067,0.0858504772303466,1247.760156818402
5,300,5,3,3072,646.1122885758057,420.80853205527575,270.79889847863467,0.0861374836445312,1337.8058565933607
5,320,5,3,3072,689.4547544346252,449.3828322135247,288.37079397888976,0.08617367371350089,1427.2945543007534
5,340,5,3,3072,732.5876870788758,477.92504671465383,306.91515356377016,0.0866301957374267,1517.5145175530372
5,360,5,3,3072,775.7324691265076,506.2123903242119,324.9238526433557,0.08696822372753901,1606.9556803178027
5,380,5,3,3072,818.7324211856597,534.8914787858361,342.62942753356447,0.08735536594494621,1696.3406828710051
5,400,5,3,3072,862.3396058154602,563.5517605515221,361.0560567393402,0.0881201631916503,1787.0355432695142
5,420,5,3,3072,905.4597589854524,592.2095594261253,378.4989711261615,0.0882841456190185,1876.2565736833583
5,440,5,3,3072,948.5297121699402,620.7207654452751,396.3608301102271,0.08867772513806149,1965.6999854505807
5,460,5,3,3072,992.0004288660858,649.7265975096519,414.72887748693176,0.08903530345166011,2056.544939166121
5,480,5,3,3072,1035.3312401095031,678.4882479410333,433.1925230844617,0.0894691757105712,2147.1014803107087
5,500,5,3,3072,1078.275707873764,707.3811849935082,451.120893222702,0.089838674953125,2236.8676247649273
5,520,5,3,3072,1121.9775704286744,736.7656667694939,469.619201066936,0.0900985016492919,2328.4525367667534
5,540,5,3,3072,1165.2346788598968,765.8161307918785,486.824832462348,0.0907407517463378,2417.9663828658695
5,560,5,3,3072,1208.4427746301392,794.7044213046654,504.9538475705286,0.0911224103364257,2508.1921659156696
5,580,5,3,3072,1252.2229922589786,823.9711054675072,523.1622615491773,0.09161207254284659,2599.447971348206
5,600,5,3,3072,1295.3794136632232,853.0561623567894,541.5637840864807,0.0921284376301269,2690.091488544123
2,32,5,2,3072,27.771103551332157,17.693838927965576,5.871008838387329,0.08052949366003409,51.416480811345096
3,32,5,2,3072,41.65810288540124,26.519878003817016,11.63774820682605,0.08059553560644529,79.89632463165076
4,32,5,3,3072,55.55222902763684,35.37612685940784,19.329028810234863,0.080644172996582,110.33802887027613
5,32,5,3,3072,69.45970947132507,44.22542032979053,28.942620719643436,0.0807094996872558,142.7084600204463
6,32,5,4,3072,83.34883049232958,53.037051532488285,46.23649140712817,0.0807440703812255,182.70311750232727
7,32,5,4,3072,97.25804233173926,61.871271941881595,60.65701099750598,0.08081297335058589,219.86713824447742
8,32,5,5,3072,111.10393615700404,70.6913116910271,77.05419322368701,0.08085159716040029,258.93029266887856
9,32,5,5,3072,125.00672619198559,79.53813824437182,95.24954387065968,0.0809145396652832,299.87532284668237
10,32,5,6,3072,138.91887916298705,88.38324699185412,125.07674237606128,0.08096985277563469,352.45983838367806
5,32,4,3,3072,69.46207506046692,44.20485720418018,28.93275829670032,0.0806661075058593,142.68035666885328
5,32,6,3,3072,69.43486554012695,44.190130088549076,28.9354006898125,0.08079604563146969,142.64119236412
5,32,8,3,3072,69.4360149560968,44.19268951199573,28.913926328392822,0.081007999748291,142.62363879623365
5,32,10,3,3072,69.43903309688964,44.21244201443714,28.94560357448657,0.08133630213171379,142.67841498794508
5,32,12,3,3072,69.43660027370849,44.19139990590137,28.933928455086548,0.08154301103979489,142.6434716457362
5,32,14,3,3072,69.44667703495422,44.19440636418384,28.91780158397754,0.0818684524002685,142.64075343551588
5,32,16,3,3072,69.45808154926696,44.216497514467655,28.942463124962647,0.0821309512558593,142.69917313995313
5,32,18,3,3072,69.45348793850341,44.19999799511951,28.94827934619983,0.0824773734512939,142.68424265327405
5,32,20,3,3072,69.46175176487365,44.202852342348514,28.904488290520508,0.0828917449417724,142.65198414268446
