NUM_SERVERS;NUM_VOTERS;NUM_CANDS;RUN_LEAK_VERSION;total_time_s;data_sent_mb;data_sent_rounds;global_data_sent_mb;send_and_receive_ballots_time_s;send_and_receive_ballots_data_mb;send_and_receive_ballots_rounds;clean_ballots_time_s;clean_ballots_data_mb;clean_ballots_rounds;convert_ballots_time_s;convert_ballots_data_mb;convert_ballots_rounds;tally_time_s;tally_data_mb;tally_rounds
5;40;5;0;643.901;1.16037;78927.0;4.64245;38.6796;0.0;0.0;307.757;0.9408;28000.0;0.165066;0.064208;12.0;297.008;0.154512;50900.0
5;40;5;1;393.853;1.01742;36505.0;4.07528;38.6858;0.0;0.0;307.819;0.9408;28000.0;0.161992;0.064208;12.0;47.0912;0.011984;8490.0
5;60;5;0;938.239;1.69357;114927.0;6.76965;57.652;0.0;0.0;461.624;1.4112;42000.0;0.17355;0.096208;12.0;418.498;0.185312;72900.0
5;60;5;1;590.145;1.52542;54745.0;6.10984;57.6782;0.0;0.0;461.64;1.4112;42000.0;0.16771;0.096208;12.0;70.5638;0.017584;12730.0
5;80;5;0;1232.35;2.22677;150927.0;8.89685;76.3425;0.0;0.0;615.58;1.8816;56000.0;0.171396;0.128208;12.0;539.965;0.216112;94900.0
5;80;5;1;786.3;2.03342;72985.0;8.1444;76.3746;0.0;0.0;615.61;1.8816;56000.0;0.169111;0.128208;12.0;94.0509;0.023184;16970.0
5;100;5;0;1526.9;2.75997;186927.0;11.024;95.3662;0.0;0.0;769.527;2.352;70000.0;0.176079;0.160208;12.0;661.541;0.246912;116900.0
5;100;5;1;982.555;2.54142;91225.0;10.179;95.3258;0.0;0.0;769.412;2.352;70000.0;0.174066;0.160208;12.0;117.548;0.028784;21210.0
5;120;5;0;1820.78;3.29317;222927.0;13.1512;114.092;0.0;0.0;923.335;2.8224;84000.0;0.177017;0.192208;12.0;782.881;0.277712;138900.0
5;120;5;1;1178.88;3.04942;109465.0;12.2135;114.188;0.0;0.0;923.402;2.8224;84000.0;0.176684;0.192208;12.0;141.014;0.034384;25450.0
5;140;5;0;2114.71;3.82637;258927.0;15.2784;133.171;0.0;0.0;1077.4;3.2928;98000.0;0.197047;0.224208;12.0;903.643;0.308512;160900.0
5;140;5;1;1374.72;3.55742;127705.0;14.2481;132.886;0.0;0.0;1077.18;3.2928;98000.0;0.194208;0.224208;12.0;164.369;0.039984;29690.0
5;160;5;0;2410.56;4.35957;294927.0;17.4056;151.846;0.0;0.0;1231.29;3.7632;112000.0;0.202583;0.256208;12.0;1026.92;0.339312;182900.0
5;160;5;1;1570.96;4.06542;145945.0;16.2826;151.744;0.0;0.0;1231.16;3.7632;112000.0;0.201727;0.256208;12.0;187.756;0.045584;33930.0
5;180;5;0;;;;;;;;;;;;;;;;
5;180;5;1;1767.39;4.57342;164185.0;18.3172;170.779;0.0;0.0;1385.05;4.2336;126000.0;0.28029;0.288208;12.0;211.183;0.051184;38170.0
5;200;5;0;2999.26;5.42597;366927.0;21.66;189.532;0.0;0.0;1539.11;4.704;140000.0;0.280829;0.320208;12.0;1270.05;0.400912;226900.0
5;200;5;1;1964.58;5.08142;182425.0;20.3518;189.862;0.0;0.0;1539.2;4.704;140000.0;0.280248;0.320208;12.0;235.146;0.056784;42410.0
5;220;5;0;3294.17;5.95917;402927.0;23.7872;208.681;0.0;0.0;1693.1;5.1744;154000.0;0.271838;0.352208;12.0;1391.82;0.431712;248900.0
5;240;5;0;3588.4;6.49237;438927.0;25.9144;227.826;0.0;0.0;1846.95;5.6448;168000.0;0.277902;0.384208;12.0;1513.05;0.462512;270900.0
5;240;5;1;2357.41;6.09742;218905.0;24.4209;227.769;0.0;0.0;1847.05;5.6448;168000.0;0.276983;0.384208;12.0;282.219;0.067984;50890.0
5;260;5;0;3883.29;7.02557;474927.0;28.0416;246.675;0.0;0.0;2000.99;6.1152;182000.0;0.280984;0.416208;12.0;1635.05;0.493312;292900.0
5;260;5;1;;;;;;;;;;;;;;;;
5;280;5;0;4176.97;7.55877;510927.0;30.1688;265.465;0.0;0.0;2154.46;6.5856;196000.0;0.284916;0.448208;12.0;1756.47;0.524112;314900.0
5;280;5;1;2749.8;7.11342;255385.0;28.49;265.492;0.0;0.0;2154.72;6.5856;196000.0;0.288294;0.448208;12.0;329.195;0.079184;59370.0
5;300;5;0;4471.45;8.09197;546927.0;32.296;284.408;0.0;0.0;2308.69;7.056;210000.0;0.297859;0.480208;12.0;1877.76;0.554912;336900.0
5;300;5;1;2945.97;7.62142;273625.0;30.5246;284.222;0.0;0.0;2308.71;7.056;210000.0;0.285905;0.480208;12.0;352.662;0.084784;63610.0
5;320;5;0;4766.54;8.62517;582927.0;34.4232;303.23;0.0;0.0;2462.68;7.5264;224000.0;0.303271;0.512208;12.0;2000.03;0.585712;358900.0
5;320;5;1;3142.29;8.12942;291865.0;32.5591;303.276;0.0;0.0;2462.63;7.5264;224000.0;0.299609;0.512208;12.0;375.984;0.090384;67850.0
5;340;5;0;5056.68;9.15837;618927.0;36.5504;321.48;0.0;0.0;2616.49;7.9968;238000.0;0.297037;0.544208;12.0;2118.12;0.616512;380900.0
5;340;5;1;3336.76;8.63742;310105.0;34.5937;321.034;0.0;0.0;2616.36;7.9968;238000.0;0.309249;0.544208;12.0;398.956;0.095984;72090.0
