NUM_SERVERS;NUM_CLIENTS;NUM_CANDS;THRESHOLD;BIT_LENGTH;Use_Elliptic_Curve;t_setup;t_gen_ballots;t_make_clients;t_encrypt_ballots;t_send_ballots;time_mixing;time_verifying_proofs;t_pool_shares;t_decrypt;t_tally;time_total
5;20;5;3;3072;False;0.024827957153320312;0.0002639293670654297;1.9073486328125e-05;1.5788953304290771;4.5299530029296875e-06;43.29309606552124;27.50865411758423;1.6689300537109375e-06;18.04113793373108;0.0002200603485107422;90.44714903831482
5;40;5;3;3072;False;0.024799346923828125;0.00036597251892089844;3.0994415283203125e-05;3.156524181365967;7.3909759521484375e-06;86.22099661827087;55.26502823829651;2.384185791015625e-06;36.06181001663208;0.0003604888916015625;180.7299666404724
5;60;5;3;3072;False;0.024832725524902344;0.0004730224609375;4.458427429199219e-05;4.737166404724121;1.049041748046875e-05;129.10899949073792;83.04410529136658;3.5762786865234375e-06;53.96009421348572;0.0004737377166748047;270.8762662410736
5;80;5;3;3072;False;0.024791240692138672;0.0005555152893066406;5.1975250244140625e-05;6.313492298126221;1.2159347534179688e-05;172.16083216667175;110.95703053474426;3.337860107421875e-06;72.09363508224487;0.0007278919219970703;361.5512070655823
5;100;5;3;3072;False;0.02482748031616211;0.0006718635559082031;6.651878356933594e-05;7.8930230140686035;1.6927719116210938e-05;215.12093782424927;138.80984473228455;4.0531158447265625e-06;90.23420119285583;0.0007615089416503906;452.0844464302063
5;120;5;3;3072;False;0.024821996688842773;0.0007696151733398438;7.915496826171875e-05;9.47122049331665;1.8358230590820312e-05;258.1043200492859;166.7731785774231;3.814697265625e-06;108.29006171226501;0.0009768009185791016;542.6655507087708
5;140;5;3;3072;False;0.024768352508544922;0.0008692741394042969;0.00013756752014160156;11.052289247512817;1.9073486328125e-05;301.1206085681915;194.81739234924316;2.86102294921875e-06;126.47019743919373;0.001073598861694336;633.4874699115753
5;160;5;3;3072;False;0.024758100509643555;0.0009427070617675781;0.0001442432403564453;12.62916874885559;2.288818359375e-05;344.0406656265259;222.79336094856262;2.86102294921875e-06;144.39790606498718;0.0012774467468261719;723.8883638381958
5;180;5;3;3072;False;0.024775981903076172;0.00106048583984375;0.00015926361083984375;14.20866060256958;2.4318695068359375e-05;387.13482642173767;251.02629494667053;3.337860107421875e-06;162.2615659236908;0.0013742446899414062;814.6588685512543
5;200;5;3;3072;False;0.02477717399597168;0.0011470317840576172;0.00017690658569335938;15.797631978988647;2.574920654296875e-05;430.2935984134674;279.1703281402588;3.337860107421875e-06;180.37562561035156;0.0014832019805908203;905.6649351119995
5;220;5;3;3072;False;0.02481865882873535;0.0012218952178955078;0.00018215179443359375;17.363678455352783;2.8133392333984375e-05;473.1805508136749;307.39251589775085;3.337860107421875e-06;198.21302247047424;0.0016448497772216797;996.1778309345245
5;240;5;3;3072;False;0.024808645248413086;0.0013175010681152344;0.0001919269561767578;18.943145275115967;3.719329833984375e-05;516.3318240642548;335.5778167247772;3.814697265625e-06;216.3890347480774;0.0018415451049804688;1087.2702152729034
